category,pattern,count,percentage
single_link,bvii -> vii,6,0.020661
single_link,bii -> vii,6,0.020661
single_link,VI -> iii,6,0.020661
single_link,VI -> bvii,6,0.020661
single_link,bVII -> vii,6,0.020661
single_link,vi -> bVI,6,0.020661
single_link,vii -> bvii,6,0.020661
single_link,bVI -> bIII,6,0.020661
single_link,bvi -> IV,6,0.020661
single_link,biii -> bVII,6,0.020661
single_link,i -> bVII,5,0.017218
single_link,v -> biii,5,0.017218
single_link,II -> iii,5,0.017218
single_link,bii -> VI,5,0.017218
single_link,bIII -> III,5,0.017218
single_link,IV -> bVI,5,0.017218
single_link,II -> vii,5,0.017218
single_link,iii -> bii,5,0.017218
single_link,iv -> biii,5,0.017218
single_link,II -> bii,5,0.017218
single_link,bVII -> VII,5,0.017218
single_link,vi -> bIII,4,0.013774
single_link,VI -> biii,4,0.013774
single_link,biii -> bVI,4,0.013774
single_link,I -> bvi,4,0.013774
single_link,iv -> II,4,0.013774
single_link,v -> bvii,4,0.013774
single_link,IV -> bii,4,0.013774
single_link,iv -> vi,4,0.013774
single_link,iii -> II,4,0.013774
single_link,bVI -> VI,4,0.013774
single_link,bII -> IV,4,0.013774
single_link,v -> III,4,0.013774
single_link,III -> v,4,0.013774
single_link,III -> bVI,4,0.013774
single_link,bvi -> V,4,0.013774
single_link,vii -> bVII,4,0.013774
single_link,bVII -> VI,4,0.013774
single_link,vii -> VII,4,0.013774
single_link,vii -> bII,3,0.010331
single_link,bii -> iii,3,0.010331
single_link,IV -> bvii,3,0.010331
single_link,bii -> iv,3,0.010331
single_link,bIII -> v,3,0.010331
single_link,bii -> IV,3,0.010331
single_link,bII -> iii,3,0.010331
single_link,bii -> II,3,0.010331
single_link,VI -> bIII,3,0.010331
single_link,bVI -> IV,3,0.010331
single_link,bIII -> i,3,0.010331
single_link,vi -> bii,3,0.010331
single_link,vi -> biii,3,0.010331
single_link,bvii -> IV,3,0.010331
single_link,bVI -> v,3,0.010331
single_link,bVI -> III,3,0.010331
single_link,III -> bIII,3,0.010331
single_link,bvi -> bVII,3,0.010331
single_link,II -> bvi,3,0.010331
single_link,VII -> bVII,3,0.010331
single_link,iii -> bVII,3,0.010331
single_link,biii -> bvi,3,0.010331
single_link,bVI -> bvi,3,0.010331
single_link,II -> bVII,3,0.010331
single_link,bVI -> iv,3,0.010331
single_link,bVII -> bvii,3,0.010331
single_link,vii -> bVI,3,0.010331
single_link,bIII -> VII,3,0.010331
single_link,bVI -> II,2,0.006887
single_link,bIII -> iv,2,0.006887
single_link,biii -> v,2,0.006887
single_link,v -> bvi,2,0.006887
single_link,bvi -> v,2,0.006887
single_link,bII -> vi,2,0.006887
single_link,bvii -> I,2,0.006887
single_link,biii -> II,2,0.006887
single_link,bii -> vi,2,0.006887
single_link,i -> bIII,2,0.006887
single_link,vii -> II,2,0.006887
single_link,v -> bVII,2,0.006887
single_link,bvi -> bii,2,0.006887
single_link,iii -> bII,2,0.006887
single_link,v -> bii,2,0.006887
single_link,biii -> iv,2,0.006887
single_link,bvii -> iv,2,0.006887
single_link,iv -> bvii,2,0.006887
single_link,#IV -> bVI,2,0.006887
single_link,VI -> bVI,2,0.006887
single_link,i -> bvii,2,0.006887
single_link,bvii -> ii,2,0.006887
single_link,biii -> bIII,2,0.006887
single_link,bII -> vii,2,0.006887
single_link,biii -> bii,2,0.006887
single_link,v -> bVI,2,0.006887
single_link,bVI -> VII,2,0.006887
single_link,bii -> biii,2,0.006887
single_link,iv -> IV,2,0.006887
single_link,bVI -> bvii,2,0.006887
single_link,vii -> v,2,0.006887
single_link,VII -> II,2,0.006887
single_link,bvi -> bII,2,0.006887
single_link,bVI -> iii,2,0.006887
single_link,bVII -> III,2,0.006887
single_link,bii -> v,2,0.006887
single_link,vii -> biii,2,0.006887
single_link,bvii -> II,2,0.006887
single_link,bii -> bVI,2,0.006887
single_link,IV -> biii,2,0.006887
single_link,biii -> bvii,2,0.006887
single_link,v -> vii,1,0.003444
single_link,v -> VII,1,0.003444
single_link,iv -> bVI,1,0.003444
single_link,bVI -> biii,1,0.003444
single_link,i -> bvi,1,0.003444
single_link,bvii -> VII,1,0.003444
single_link,bvii -> bIII,1,0.003444
single_link,bvi -> III,1,0.003444
single_link,bIII -> vii,1,0.003444
single_link,vii -> bvi,1,0.003444
single_link,bii -> bvii,1,0.003444
single_link,bvii -> i,1,0.003444
single_link,bVII -> bii,1,0.003444
single_link,bvii -> bII,1,0.003444
single_link,#IV -> VII,1,0.003444
single_link,#IV -> bII,1,0.003444
single_link,II -> biii,1,0.003444
single_link,biii -> i,1,0.003444
single_link,bIII -> bvii,1,0.003444
single_link,bii -> bVII,1,0.003444
single_link,VII -> biii,1,0.003444
single_link,bvi -> bIII,1,0.003444
single_link,III -> biii,1,0.003444
single_link,II -> v,1,0.003444
single_link,bvi -> VI,1,0.003444
single_link,bvii -> biii,1,0.003444
single_link,i -> biii,1,0.003444
single_link,bvi -> VII,1,0.003444
single_link,bvii -> III,1,0.003444
single_link,VII -> bIII,1,0.003444
single_link,vii -> bIII,1,0.003444
single_link,VI -> bvi,1,0.003444
single_link,III -> bVII,1,0.003444
single_link,bVI -> bii,1,0.003444
single_link,bII -> bVII,1,0.003444
single_link,biii -> vi,1,0.003444
single_link,bii -> bIII,1,0.003444
single_link,bVII -> II,1,0.003444
single_link,bvii -> iii,1,0.003444
three_step_chain,ii -> V -> I,2933,14.781031
three_step_chain,V -> ii -> V,1238,6.238976
three_step_chain,ii -> V -> ii,770,3.880462
three_step_chain,ii -> V -> i,760,3.830066
three_step_chain,I -> ii -> V,549,2.766719
three_step_chain,vi -> ii -> V,545,2.746560
three_step_chain,V -> I -> ii,426,2.146853
three_step_chain,I -> vi -> ii,422,2.126695
three_step_chain,V -> I -> V,346,1.743688
three_step_chain,V -> I -> IV,298,1.501789
three_step_chain,V -> I -> vi,261,1.315325
three_step_chain,I -> V -> I,238,1.199415
three_step_chain,i -> ii -> V,205,1.033110
three_step_chain,biii -> ii -> V,177,0.892002
three_step_chain,V -> i -> i,161,0.811369
three_step_chain,bii -> ii -> V,144,0.725697
three_step_chain,V -> I -> bii,140,0.705538
three_step_chain,II -> ii -> V,136,0.685380
three_step_chain,V -> V -> I,128,0.645064
three_step_chain,III -> ii -> V,126,0.634985
three_step_chain,V -> I -> I,126,0.634985
three_step_chain,I -> bii -> ii,121,0.609787
three_step_chain,ii -> V -> iii,112,0.564431
three_step_chain,VI -> ii -> V,101,0.508996
three_step_chain,V -> i -> ii,101,0.508996
three_step_chain,ii -> V -> V,100,0.503956
three_step_chain,V -> I -> i,100,0.503956
three_step_chain,ii -> V -> VI,99,0.498916
three_step_chain,VII -> ii -> V,97,0.488837
three_step_chain,iii -> biii -> ii,95,0.478758
three_step_chain,IV -> ii -> V,95,0.478758
three_step_chain,V -> i -> V,94,0.473719
three_step_chain,I -> biii -> ii,93,0.468679
three_step_chain,I -> IV -> V,91,0.458600
